Started At,Duration,Preset,Activity
1/25/2017 20:28,0:11:45,,Guided Meditation
1/25/2017 12:22,0:10:00,,Meditation
1/24/2017 15:41,0:10:00,,Meditation
1/24/2017 11:53,0:15:00,,Meditation
1/23/2017 16:01,0:10:00,,Meditation
1/22/2017 10:31,0:30:00,,Meditation
1/20/2017 17:37,0:15:00,,Meditation
1/20/2017 11:37,0:20:05,,Guided Meditation
1/19/2017 14:26,0:15:00,,Meditation
1/19/2017 10:58,0:20:05,,Guided Meditation
1/18/2017 15:57,0:20:05,,Guided Meditation
1/18/2017 11:30,0:09:21,,Guided Meditation
1/17/2017 18:00,0:25:00,,Meditation
1/17/2017 11:33,0:12:25,,Guided Meditation
1/16/2017 19:20,0:00:14,,Meditation
1/16/2017 19:09,0:10:00,,Meditation
1/16/2017 14:19,0:14:47,,Guided Meditation
1/16/2017 11:35,0:15:00,,Guided Meditation
1/14/2017 17:25,0:30:00,,Meditation
1/14/2017 12:20,0:28:57,,Guided Meditation
1/12/2017 11:39,0:05:00,,Guided Meditation
1/11/2017 11:10,0:05:00,,Guided Meditation
1/10/2017 19:35,0:10:51,,Guided Meditation
1/10/2017 12:02,0:05:00,,Guided Meditation
1/9/2017 20:27,0:23:37,,Guided Meditation
1/8/2017 19:20,0:09:26,,Guided Meditation
1/7/2017 17:57,0:15:26,,Guided Meditation
1/6/2017 12:46,0:10:30,,Guided Meditation
1/6/2017 12:03,0:05:31,,Guided Meditation
1/4/2017 15:26,0:03:40,,Guided Meditation
1/2/2017 17:05,0:38:54,,Guided Meditation
1/1/2017 17:59,0:28:47,,Guided Meditation
12/31/2016 16:59,0:28:57,,Guided Meditation
12/29/2016 16:22,0:24:42,,Guided Meditation
12/28/2016 17:59,0:15:00,,Meditation
12/24/2016 9:16,0:21:18,,Guided Meditation
12/23/2016 14:41,0:27:15,,Guided Meditation
12/20/2016 12:29,0:04:36,,Guided Meditation
12/20/2016 11:08,0:05:00,,Guided Meditation
12/20/2016 6:41,0:15:26,,Guided Meditation
12/19/2016 11:10,0:01:39,,Guided Meditation
12/17/2016 17:38,0:30:00,,Meditation
12/17/2016 10:37,0:10:00,stretch,Yoga
12/16/2016 16:17,0:03:40,,Guided Meditation
12/13/2016 10:14,0:09:58,,Guided Meditation
12/12/2016 23:10,0:22:21,,Guided Meditation
12/12/2016 19:45,0:10:00,,Guided Meditation
12/12/2016 19:26,0:15:26,,Guided Meditation
12/10/2016 15:17,0:25:00,,Meditation
12/3/2016 10:47,0:30:00,,Meditation
12/2/2016 6:16,0:25:00,,Meditation
12/1/2016 6:29,0:15:00,,Meditation
11/28/2016 7:08,0:30:00,,Meditation
11/27/2016 20:15,0:45:00,,
11/26/2016 7:53,0:30:00,,Meditation
11/25/2016 7:59,0:25:00,,Meditation
11/24/2016 8:49,0:14:10,,Meditation
11/24/2016 8:39,0:09:02,,Guided Meditation
11/23/2016 14:58,0:28:19,,Meditation
11/22/2016 12:48,0:30:00,,Meditation
11/21/2016 16:52,0:31:16,,Guided Meditation
11/19/2016 7:48,0:30:00,,Meditation
